Start_x,Start_y,End_x,End_y,Transect_ID
300050,3351059.047,300279.0149,3351450,1
300144.7003,3351050,300379.0149,3351450,2
300244.7003,3351050,300479.0149,3351450,3
300045,3350453.024,300101.8071,3350550,4
300045,3350196.958,300251.8071,3350550,5
300045,3350111.603,300301.8071,3350550,6
300105.985,3350045,300401.8071,3350550,7
300305.985,3350045,301129.0149,3351450,8
300355.985,3350045,301179.0149,3351450,9
300405.985,3350045,301229.0149,3351450,10
300505.985,3350045,301329.0149,3351450,11
300605.985,3350045,301429.0149,3351450,12
300655.985,3350045,301450,3351400.468,13
300755.985,3350045,301450,3351229.758,14
300905.985,3350045,301155,3350470.095,15
300955.985,3350045,301155,3350384.74,16
301005.985,3350045,301155,3350299.385,17
301055.985,3350045,301155,3350214.029,18
301428.3757,3350510,301450,3350546.915,19
300394.7003,3351050,300629.0149,3351450,20
300450,3350888.336,300779.0149,3351450,21
300450,3350802.981,300829.0149,3351450,22
300450,3350632.27,300929.0149,3351450,23
301178.3757,3350510,301450,3350973.692,24
301228.3757,3350510,301450,3350888.336,25
301278.3757,3350510,301450,3350802.981,26
301328.3757,3350510,301450,3350717.626,27
300050,3351229.758,300179.0149,3351450,28
300855.985,3350045,301450,3351059.047,29
